Nr.	Datum	Operator	Schicht	Kammer	vSubstr LQ	Pendel#	H2	SiH4	SC	TMB	CH4	CO2	PH3	Gas?	Gasfluss	t	p	P	Pump nach	f	del	Ts	Th	Th depo	Subst	Subst	Anzahl	Pr	CL	CT	UDC	Basis p	d	R	?d/d¯	Deplet	R dyn	h	FF	Voc	jsc	Rs	FF rot	jsc rot	FF blau	jsc blau	j0	n	Reflekt	Anneal	sd nT	sd vT/oT	sph	Photosens	Krist (%)	Krist (%)	Sims [O]	Sims [C]	Sims [N]	Sims [B]	Sims [?]	PDS E04	PDS a 1,2	H2	SiH4	TMB	CH4	CO2	PH3		Bemerkung					Hilfe-Spalten					
					(m/s)	LQ	(sccm)	(sccm)	(%)	(sccm)	(sccm)	(sccm)	(sccm)		(sccm)	(s)	(mbar)	(W)	Schicht (s)	(Hz)	(mm)	(°C)	(°C)	(°C)	Größe	Material	Gläser	(W)			(V)	(mbar)	(nm)	(Å/s)	(%)	(%)	(nm·m/min)	(%)	(%)	(mV)	(mA/cm²)	(W)	(%)	(mA/cm²)	(%)	(mA/cm²)	(mA/cm²)	(-)			(S/cm)	(S/cm)	(S/cm)	(-)	488 nm	647 nm	(cm-3)	(cm-3)	(cm-3)	(cm-3)	(cm-3)	(eV)	eV (cm-1)	Cal sccm	Cal sccm	Cal sccm	Cal sccm	Cal sccm	Cal sccm				Größe	Material		DS-Zeile	Leitf-Zeile	Cryst-Zeile	Sims-Zeile	PDS-Zeile	Cal-Zeile
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D054	14.04.2010	JW	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										200								#NV	#NV	#NV	#NV	#NV	14
																																	1467.33																																											#NV	#NV	#NV	#NV	#NV	#NV
10D055	14.04.2010	JW	a(p)	1			285	47	8.21	6	30					50	4	27		13.56		180			10x10	Asahi-U	3					9.00E-07	9	1.8		25.16		9.14	72.6	893	14.1	6	74.5	4.4	75.8	3.02	9.50E-09	1.68	Ag-1	30' 160°C														284.43	25.46	7.72	23.76			1,5,9	Referenz mit Plasmastop zwischen i und n Schicht					#NV	#NV	#NV	#NV	#NV	14
10D056	14.04.2010	JW	CO2	1								200				120	6	180		13.56					Dummy	Übrig												9.7	70.1	897	15.43	8.6	71.9	5.65	73.17	3.05	9.50E-09	1.94	ZnO/Ag-5	30' 160°C																		200			eher hohe werte fur jsc blau					#NV	#NV	#NV	#NV	#NV	14
10D057	14.04.2010	JW	a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	3					9.00E-07	23.58	1.15	2.22	9.89		8.97	71	892	14.16	7.5	73.8	4.44	75.2	3.03	1.53E-09	1.53	Ag-9	30' 160°C														1029.69	41.39											59	#NV	#NV	#NV	#NV	14
10D057	14.04.2010	JW	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	3						286.98	1.89	2.22	16.23																												339.32	41.39											59	#NV	#NV	#NV	#NV	14
10D058	14.04.2010	JW	a(n)	1			547	91	9.17				23			90	4	34		13.56		180			10x10	Asahi-U	3						16.11	1.79		11.5																												548.97	55.39				14.18							#NV	#NV	#NV	#NV	#NV	14
10D059	14.04.2010	JW	CO2	1								200				120	6	180		13.56					Dummy	Übrig																																										200								#NV	#NV	#NV	#NV	#NV	14
																																	335.67																																											#NV	#NV	#NV	#NV	#NV	#NV
10D060	15.04.2010	AF, TZ	a(i)	2	0.015	32	680	136	10.82							853	1	50/60		60		180			10x10	Corning	9						256	3		12.9	7.2																											682.45	82.78						Blindbeschichtung. Pos=3,163 / 2,6667 (2 cm weiter als bei normaler Beschichtung)					#NV	#NV	#NV	#NV	#NV	14
